course,req
AFRO-AM 104D M ,ESL 36 
AFRO-AM 104E M ,ENGCOMP 3 
AFRO-AM 104E M ,ESL 36 
AFRO-AM 144  M ,POL SCI 40 
AFRO-AM 167B M ,AFRO-AM 167A M 
AFRO-AM 179A M ,ENGCOMP 3 
AFRO-AM 179A M ,ESL 36 
AFRO-AM 194A M ,AFRO-AM 182A M 
AFRO-AM 194A M ,AFRO-AM 182B M 
AFRO-AM 194B M ,EDUC 182B M 
AFRO-AM 194B M ,EDUC 183B M 
AFRO-AM 194C M ,AFRO-AM 182C M 
AFRO-AM 194C M ,AFRO-AM 183C M 
AFRO-AM 197A M ,ENGCOMP 3 
AFRO-AM 197A M ,ENGCOMP 3 
AFRO-AM 211  M ,ETHNOMU 110A M 
AFRO-AM 211  M ,ETHNOMU 110B M 
AM IND 122SLC ,AM IND 121  C 
AM IND 122XPC ,AM IND 121  C 
AM IND 161  M ,AM IND 10  M 
AM IND 161  M ,SOCIOL 1 
AM IND 162  M ,AM IND 10  M 
AM IND 162  M ,ANTHRO 4 
AM IND 195 ,AM IND 10  M 
AM IND 198B ,AM IND 198A 
AM IND 198C ,AM IND 198B 
AM IND 222XPC ,AM IND 221  C 
AM IND 228B ,AM IND 228A 
AM IND 238B ,AM IND 238A 
AM IND 265B ,AM IND 265A M 
AM IND 267  M ,AM IND 238A M 
AM IND 267  M ,AM IND 238B 
AM IND 267  M ,AM IND 265A M 
AM IND 267  M ,AM IND 265B 
AM IND 267A M ,AM IND 238A M 
AM IND 267A M ,AM IND 238B 
AM IND 267A M ,AM IND 265A M 
AM IND 267A M ,AM IND 265B 
AM IND 267B ,AM IND 267A M 
AN N EA 10W ,ENGCOMP 3 
AN N EA 12W ,ENGCOMP 3 
AN N EA 14W ,ENGCOMP 3 
AN N EA 15W ,ENGCOMP 3 
AN N EA 60W M ,ENGCOMP 3 
AN N EA 98T ,ENGCOMP 2 
AN N EA 98T ,ENGCOMP 2I 
AN N EA 98TW ,ENGCOMP 3 
AN N EA 120B ,AN N EA 120A 
AN N EA 120C ,AN N EA 120B 
AN N EA 121A ,AN N EA 120C 
AN N EA 121B ,AN N EA 121A 
AN N EA 121C ,AN N EA 121B 
AN N EA 123B ,AN N EA 123A 
AN N EA 123B C ,AN N EA 123A C 
AN N EA 124 ,AN N EA 121C 
AN N EA 125B M ,AN N EA 125A 
AN N EA 125C M ,AN N EA 125B M 
AN N EA 140A ,SEMITIC 140A 
AN N EA 140A ,SEMITIC 140B 
AN N EA 140B ,SEMITIC 140A 
AN N EA 140B ,SEMITIC 140B 
AN N EA 140C ,SEMITIC 140A 
AN N EA 140C ,SEMITIC 140B 
AN N EA 145 ,AN N EA 140A 
AN N EA 145 ,AN N EA 140B 
AN N EA 150B ,AN N EA 103A M 
AN N EA 150B ,AN N EA 103B M 
AN N EA 160 ,ANTHRO 8 
AN N EA 164A ,AN N EA 105  M 
AN N EA 164A ,AN N EA 161A 
AN N EA 164A ,AN N EA 161B 
AN N EA 164A ,AN N EA 161C 
AN N EA 164B ,AN N EA 105  M 
AN N EA 164B ,AN N EA 161A 
AN N EA 164B ,AN N EA 161B 
AN N EA 164B ,AN N EA 161C 
AN N EA 164C ,AN N EA 105  M 
AN N EA 164C ,AN N EA 161A 
AN N EA 164C ,AN N EA 161B 
AN N EA 164C ,AN N EA 161C 
AN N EA 165 ,AN N EA 103A M 
AN N EA 165 ,AN N EA 103B M 
AN N EA 165 ,AN N EA 130 
AN N EA 165 ,NR EAST 50A 
AN N EA 165  C ,AN N EA 103A M 
AN N EA 165  C ,AN N EA 103B M 
AN N EA 165  C ,AN N EA 130 
AN N EA 165  C ,NR EAST 50A 
AN N EA 167  M ,CLASSIC 10 
AN N EA 167  M ,CLASSIC 20 
AN N EA 188SA ,HNRS 101E 
AN N EA 188SB ,CHICANO 188SA 
AN N EA 188SB ,HNRS 101E 
AN N EA 188SC ,CHICANO 188SB 
AN N EA 201  M ,ARCHEOL 201A M 
AN N EA 201  M ,ARCHEOL 201B M 
AN N EA 210 ,AN N EA 121A 
AN N EA 210 ,AN N EA 121B 
AN N EA 210 ,AN N EA 121C 
AN N EA 211A ,AN N EA 121C 
AN N EA 211B ,AN N EA 121C 
AN N EA 215 ,AN N EA 120A 
AN N EA 215 ,AN N EA 120B 
