course,req
HNRS 34W ,ESL 36 
HNRS 37W ,ENGCOMP 3 
HNRS 37W ,ESL 36 
HNRS 38W ,ENGCOMP 3 
HNRS 38W ,ESL 36 
HNRS 40W ,ENGCOMP 3 
HNRS 40W ,ESL 36 
HNRS 41W ,ENGCOMP 3 
HNRS 41W ,ENGCOMP 3H 
HNRS 43W ,ENGL 3 
HNRS 43W ,ENGL 3H 
HNRS 43W ,ESL 36 
HNRS 45W ,LIFESCI 2 
HNRS 45W ,ENGCOMP 3 
HNRS 45W ,ESL 36 
HNRS 46W ,ENGCOMP 3 
HNRS 46W ,ENGCOMP 3H 
HNRS 50W ,ENGCOMP 3 
HNRS 50W ,ESL 36 
HNRS 59W ,ENGCOMP 3 
HNRS 59W ,ESL 36 
HNRS 63W ,ENGCOMP 3 
HNRS 63W ,ESL 36 
HNRS 65W ,ENGCOMP 3 
HNRS 83W ,ENGCOMP 3 
HNRS 83W ,ESL 36 
HNRS 87W ,ENGCOMP 3 
HNRS 101 ,HNRS 99 
HNRS 101A ,HNRS 99 
HNRS 117L ,HNRS 117 
HNRS 141 ,LIFESCI 3 
HNRS 170  M ,DIS STD 101 
HNRS 173A ,HNRS 173 
HNRS 176B ,HNRS 176A 
HNRS 188SA ,HNRS 101E 
HNRS 188SB ,ENGL 188SA 
HNRS 188SB ,HNRS 101E 
HNRS 188SC ,ENGL 188SB 
HNRS 194SA ,HNRS 195SA 
HUM CS 188SA ,HNRS 101E 
HUM CS 188SB ,HUM CS 188SA 
HUM GEN 102W M ,ENGCOMP 3 
HUM GEN 102W M ,ESL 36 
HUM GEN 122  CM ,LIFESCI 4 
HUM GEN 122  CM ,MIMG 156  CM 
HUM GEN 124  CM ,COM SCI 32 
HUM GEN 124  CM ,COMPTNG 10C 
HUM GEN 124  CM ,MATH 33A 
HUM GEN 124  CM ,C&EE 110 
HUM GEN 124  CM ,EC ENGR 131A 
HUM GEN 124  CM ,MATH 170A 
HUM GEN 124  CM ,MATH 170E 
HUM GEN 124  CM ,STATS 100A 
HUM GEN 144  C ,LIFESCI 4 
HUM GEN 153G CM ,CHEM 110A 
HUM GEN 153G CM ,CHEM 153A 
HUM GEN 153G CM ,CHEM 153B 
HUM GEN 153G CM ,CHEM 153C 
HUM GEN 153G CM ,CHEM 156 
HUM GEN 156  CM ,LIFESCI 3 
HUM GEN 156  CM ,LIFESCI 4 
HUM GEN 169  CM ,CHEM 153A 
HUM GEN 169  CM ,CHEM 153B 
HUM GEN 169  CM ,CHEM 153C 
HUM GEN 178  CM ,CHEM 153G CM 
HUM GEN 188SA ,HNRS 101E 
HUM GEN 207B M ,BIOSTAT 200B 
HUM GEN 207B M ,BIOSTAT 202B 
HUM GEN 222  CM ,LIFESCI 4 
HUM GEN 222  CM ,MIMG 256  CM 
HUM GEN 224  CM ,COM SCI 32 
HUM GEN 224  CM ,COMPTNG 10C 
HUM GEN 224  CM ,MATH 33A 
HUM GEN 224  CM ,C&EE 110 
HUM GEN 224  CM ,EC ENGR 131A 
HUM GEN 224  CM ,MATH 170A 
HUM GEN 224  CM ,MATH 170E 
HUM GEN 224  CM ,STATS 100A 
HUM GEN 226  M ,COM SCI 32 
HUM GEN 226  M ,COMPTNG 10C 
HUM GEN 236A ,HUM GEN 253  CM 
HUM GEN 236A ,HUM GEN 267A CM 
HUM GEN 236B ,HUM GEN 236A 
HUM GEN 236B ,HUM GEN 253  CM 
HUM GEN 236B ,HUM GEN 267A CM 
HUM GEN 248  CM ,MCD BIO 100 
HUM GEN 248  CM ,MCD BIO 139  C 
HUM GEN 248  CM ,MCD BIO 140  M 
HUM GEN 248  CM ,CHEM 153A 
HUM GEN 248  CM ,CHEM 153B 
HUM GEN 248  CM ,LIFESCI 3 
HUM GEN 248  CM ,LIFESCI 4 
HUM GEN 253  CM ,CHEM 110A 
HUM GEN 253  CM ,CHEM 153A 
HUM GEN 253  CM ,CHEM 153B 
HUM GEN 253  CM ,CHEM 153C 
HUM GEN 253  CM ,CHEM 156 
HUM GEN 256  CM ,LIFESCI 3 
HUM GEN 256  CM ,BIOL 9 
HUM GEN 256  CM ,BIOL 100A 
HUM GEN 256  CM ,LIFESCI 4 
HUM GEN 256  CM ,BIOL 108 
HUM GEN 260A M ,COM SCI 32 
HUM GEN 260A M ,COMPTNG 10C 
HUM GEN 260A M ,BIOSTAT 100A 
HUM GEN 260A M ,BIOSTAT 110A 
HUM GEN 260A M ,MATH 170A 
HUM GEN 260A M ,STATS 100A 
HUM GEN 260A M ,C&EE 110 
HUM GEN 260A M ,EL ENGR 131A 
HUM GEN 267  CM ,CHEM 153A 
HUM GEN 267  CM ,CHEM 153B 
HUM GEN 267  CM ,CHEM 153C 
HUM GEN 267A CM ,CHEM 153A 
HUM GEN 267A CM ,CHEM 153B 
HUM GEN 267A CM ,CHEM 153C 
HUM GEN 412 ,HUM GEN 411 
HUM GEN 431B ,HUM GEN 431A 
HUM GEN 431C ,HUM GEN 431B 
HUM GEN 431D ,HUM GEN 431C 
HUM GEN 431E ,HUM GEN 431D 
HUNGRN 101B ,HUNGRN 101A 
HUNGRN 101C ,HUNGRN 101B 
HUNGRN 102A ,HUNGRN 101C 
HUNGRN 102B ,HUNGRN 102A 
HUNGRN 102C ,HUNGRN 102B 
HUNGRN 187B ,HUNGRN 187A 
HUNGRN 187C ,HUNGRN 187B 
HUNGRN 187D ,HUNGRN 187C 
HUNGRN 187E ,HUNGRN 187D 
HUNGRN 187F ,HUNGRN 187E 
HUNGRN 187G ,HUNGRN 187F 
HUNGRN 187I ,HUNGRN 187G 
HUNGRN 187J ,HUNGRN 187I 
HUNGRN 187K ,HUNGRN 187J 
HUNGRN 187L ,HUNGRN 187K 
HUNGRN 187M ,HUNGRN 187L 
I A STD 5B M ,I A STD 5A M 
I A STD 5C M ,I A STD 5B M 
I A STD 6B M ,I A STD 6A M 
I A STD 6C M ,I A STD 6B M 
I A STD 7B M ,I A STD 7A M 
I A STD 7C M ,I A STD 7B M 
I A STD 15A M ,I A STD 5A M 
I A STD 15A M ,I A STD 5B M 
I A STD 15A M ,I A STD 5C M 
I A STD 15B M ,I A STD 15A M 
I A STD 15C M ,I A STD 15B M 
I A STD 115A M ,I A STD 15A M 
I A STD 115A M ,I A STD 15B M 
I A STD 115A M ,I A STD 15C M 
I A STD 115B M ,I A STD 115A M 
I A STD 115C M ,I A STD 115B M 
I A STD 191 ,I A STD 1 
I A STD 198B ,I A STD 198A 
I A STD 198C ,I A STD 198B 
I E STD 132 ,I E STD 131 
I E STD 150  M ,LING 1 
I E STD 150  M ,LING 20 
I E STD 205 ,I E STD 150  M 
I E STD 205 ,LING 110 
I E STD 215 ,I E STD 210 
I E STD 280A ,I E STD 210 
I E STD 280B ,I E STD 210 
I E STD 281A ,I E STD 210 
I E STD 281B ,I E STD 210 
I M STD 199 ,I M STD 155 
IL AMER 2 ,IL AMER 1 
IL AMER 3 ,IL AMER 2 
IL AMER 5B ,IL AMER 5A 
IL AMER 5B M ,IL AMER 5A M 
IL AMER 5C ,IL AMER 5B 
IL AMER 5C M ,IL AMER 5B M 
IL AMER 15A ,IL AMER 5A M 
IL AMER 15A ,IL AMER 5B M 
IL AMER 15A ,IL AMER 5C M 
IL AMER 15A M ,IL AMER 5A M 
IL AMER 15A M ,IL AMER 5B M 
IL AMER 15A M ,IL AMER 5C M 
IL AMER 15B ,IL AMER 15A 
IL AMER 15B M ,IL AMER 15A M 
IL AMER 15C ,IL AMER 15B 
IL AMER 15C M ,IL AMER 15B M 
IL AMER 18B ,IL AMER 18A 
IL AMER 18C ,IL AMER 18B 
IL AMER 115A ,IL AMER 15A 
IL AMER 115A ,IL AMER 15B 
IL AMER 115A ,IL AMER 15C 
IL AMER 115A M ,IL AMER 15A M 
IL AMER 115A M ,IL AMER 15B M 
IL AMER 115A M ,IL AMER 15C M 
IL AMER 115B ,IL AMER 115A 
IL AMER 115B M ,IL AMER 115A M 
IL AMER 115C ,IL AMER 115B 
IL AMER 115C M ,IL AMER 115B M 
IL AMER 119B ,IL AMER 119A 
IL AMER 119C ,IL AMER 119B 
ILA 2 ,ILA 1 
ILA 3 ,ILA 2 
ILA 18B ,ILA 18A 
ILA 18C ,ILA 18B 
ILA 119B ,ILA 119A 
ILA 119C ,ILA 119B 
INDIC 110B ,INDIC 110A 
INDIC 110C ,INDIC 110B 
INDIC 115 ,INDIC 110C 
INDO 2 ,INDO 1 
INDO 3 ,INDO 2 
INDO 4 ,INDO 3 
INDO 5 ,INDO 4 
INDO 6 ,INDO 5 
INDO 100A ,INDO 6 
INDO 100B ,INDO 100A 
INDO 100C ,INDO 100B 
INDO 109 ,INDO 6 
INF STD 188SA ,HNRS 101E 
INF STD 188SB ,INF STD 188SA 
INF STD 188SB ,HNRS 101E 
INF STD 188SC ,INF STD 188SB 
INF STD 204 ,L&I SCI 201 
INF STD 205 ,INF STD 200 
INF STD 211 ,INF STD 410 
INF STD 211 ,INF STD 411 
INF STD 221 ,INF STD 220 
INF STD 222 ,INF STD 220 
INF STD 223 ,INF STD 220 
INF STD 224 ,INF STD 220 
INF STD 230 ,INF STD 200 
INF STD 238  M ,INF STD 432 
INF STD 245 ,INF STD 200 
INF STD 245 ,INF STD 260 
INF STD 279 ,INF STD 200 
INF STD 279 ,INF STD 260 
INF STD 291B ,INF STD 291A 
INF STD 291C ,INF STD 291A 
INF STD 298B ,INF STD 298A 
INF STD 298C ,INF STD 298A 
INF STD 402 ,INF STD 200 
INF STD 412 ,INF STD 410 
INF STD 412 ,INF STD 411 
INF STD 434 ,INF STD 431 
INF STD 438 ,INF STD 431 
INF STD 471 ,INF STD 441 
INT DEV 100A ,ANTHRO 9 
INT DEV 195A ,INT DEV 100A 
INT DEV 195A ,INT DEV 100B M 
INT DEV 195B ,INT DEV 100A 
INT DEV 195B ,INT DEV 100B M 
INT DEV 195C ,INT DEV 100A 
INT DEV 195C ,INT DEV 100B M 
INTL DV 100A ,ANTHRO 9 
INTL DV 110 ,INTL DV 1 
INTL DV 120  M ,INTL DV 1 
INTL DV 130 ,INTL DV 1 
INTL DV 140 ,INTL DV 1 
INTL DV 150 ,ECON 1 
INTL DV 150 ,ECON 2 
INTL DV 150  M ,INTL DV 1 
INTL DV 191 ,INTL DV 110 
INTL DV 191 ,INTL DV 120  M 
INTL DV 191 ,INTL DV 130 
INTL DV 191 ,INTL DV 110 
INTL DV 191 ,INTL DV 120  M 
INTL DV 191 ,INTL DV 140 
INTL DV 191 ,INTL DV 110 
INTL DV 191 ,INTL DV 130 
INTL DV 191 ,INTL DV 140 
INTL DV 191 ,INTL DV 120  M 
INTL DV 191 ,INTL DV 130 
INTL DV 191 ,INTL DV 140 
INTL DV 195A ,INT DEV 100A 
INTL DV 195A ,INT DEV 100B M 
INTL DV 195B ,INT DEV 100A 
INTL DV 195B ,INT DEV 100B M 
INTL DV 195C ,INT DEV 100A 
INTL DV 195C ,INT DEV 100B M 
INTL DV 198A ,INTL DV 110 
INTL DV 198A ,INTL DV 120  M 
INTL DV 198A ,INTL DV 130 
INTL DV 198B ,INTL DV 100A 
INTL DV 198B ,INTL DV 100B M 
INTL DV 198B ,INTL DV 198A 
INTL DV 198C ,INTL DV 100A 
INTL DV 198C ,INTL DV 100B M 
INTL DV 198C ,INTL DV 198B 
IRANIAN 1B ,IRANIAN 1A 
IRANIAN 1C ,IRANIAN 1B 
IRANIAN 20B ,IRANIAN 20A 
IRANIAN 20C ,IRANIAN 20B 
IRANIAN 60W M ,ENGCOMP 3 
IRANIAN 102A ,IRANIAN 1C 
IRANIAN 102A ,IRANIAN 20C 
IRANIAN 102B ,IRANIAN 102A 
IRANIAN 102C ,IRANIAN 102B 
IRANIAN 103A ,IRANIAN 102C 
IRANIAN 103B ,IRANIAN 102C 
IRANIAN 103C ,IRANIAN 102C 
IRANIAN 132 ,IRANIAN 102C 
IRANIAN 132 ,IRANIAN 131 
IRANIAN 140 ,IRANIAN 102C 
IRANIAN 141 ,IRANIAN 102C 
IRANIAN 142 ,IRANIAN 102C 
IRANIAN 161B ,IRANIAN 161A 
IRANIAN 161C ,IRANIAN 161B 
IRANIAN 181A ,IRANIAN 1A 
IRANIAN 181A ,IRANIAN 1B 
IRANIAN 181A ,IRANIAN 1C 
IRANIAN 181B ,IRANIAN 1A 
IRANIAN 181B ,IRANIAN 1B 
IRANIAN 181B ,IRANIAN 1C 
IRANIAN 188FL ,IRANIAN 102C 
IRANIAN 190A ,IRANIAN 1A 
IRANIAN 190A ,IRANIAN 1B 
IRANIAN 190A ,IRANIAN 1C 
IRANIAN 190B ,IRANIAN 1A 
IRANIAN 190B ,IRANIAN 1B 
IRANIAN 190B ,IRANIAN 1C 
IRANIAN 198FL ,IRANIAN 102C 
ITALIAN 2 ,ITALIAN 1 
ITALIAN 2A ,ITALIAN 1A 
ITALIAN 2A ,ITALIAN 2 
ITALIAN 3 ,ITALIAN 2 
ITALIAN 3A ,ITALIAN 2A 
ITALIAN 3A ,ITALIAN 3 
ITALIAN 4 ,ITALIAN 3 
ITALIAN 5 ,ITALIAN 4 
ITALIAN 6 ,ITALIAN 5 
ITALIAN 8A ,ITALIAN 2 
ITALIAN 8B ,ITALIAN 3 
ITALIAN 8C ,ITALIAN 4 
ITALIAN 25 ,ITALIAN 5 
ITALIAN 98T ,ENGCOMP 2 
ITALIAN 98T ,ENGCOMP 2I 
ITALIAN 100 ,ITALIAN 6 
ITALIAN 103A ,ITALIAN 100 
ITALIAN 103B ,ITALIAN 100 
ITALIAN 103C ,ITALIAN 100 
ITALIAN 113 ,ITALIAN 100 
ITALIAN 114A ,ITALIAN 100 
ITALIAN 114B ,ITALIAN 100 
ITALIAN 116A ,ITALIAN 100 
ITALIAN 116B ,ITALIAN 100 
ITALIAN 118 ,ITALIAN 100 
ITALIAN 119 ,ITALIAN 100 
ITALIAN 120 ,ITALIAN 100 
ITALIAN 121 ,ITALIAN 100 
ITALIAN 122 ,ITALIAN 100 
ITALIAN 123 ,ITALIAN 100 
ITALIAN 124 ,ITALIAN 100 
ITALIAN 125 ,ITALIAN 6 
ITALIAN 131 ,ITALIAN 100 
ITALIAN 180 ,ITALIAN 100 
ITALIAN 199B ,ITALIAN 100 
ITALIAN 241  M ,GEOG 240 
JAPAN 2 ,JAPAN 1 
JAPAN 2A ,JAPAN 1A 
JAPAN 3 ,JAPAN 2 
JAPAN 3A ,JAPAN 2A 
JAPAN 4 ,JAPAN 3 
JAPAN 4 ,JAPAN 8 
JAPAN 5 ,JAPAN 4 
JAPAN 6 ,JAPAN 5 
JAPAN 7 ,JAPAN 5 
JAPAN 10 ,JAPAN 3 
JAPAN 40W M ,ENGCOMP 3 
JAPAN 40W M ,ESL 36 
JAPAN 100A ,JAPAN 6 
JAPAN 100A ,JAPAN 10 
JAPAN 100B ,JAPAN 100A 
JAPAN 100C ,JAPAN 100B 
JAPAN 100D ,JAPAN 100C 
JAPAN 100E ,JAPAN 100C 
JAPAN 100I ,JAPAN 6 
JAPAN 100I ,JAPAN 10 
JAPAN 100R ,JAPAN 6 
JAPAN 100R ,JAPAN 10 
JAPAN 100S ,JAPAN 6 
JAPAN 100S ,JAPAN 10 
JAPAN 101A ,JAPAN 100C 
JAPAN 101A ,JAPAN 100S 
JAPAN 101B ,JAPAN 100C 
JAPAN 101B ,JAPAN 100S 
JAPAN 101C ,JAPAN 100C 
JAPAN 101C ,JAPAN 100S 
JAPAN 101S ,JAPAN 100C 
JAPAN 101S ,JAPAN 100S 
JAPAN 102 ,JAPAN 15 
JAPAN 102B ,JAPAN 102A 
JAPAN 103 ,JAPAN 6 
JAPAN 103 ,JAPAN 10 
JAPAN 103A ,JAPAN 100C 
JAPAN 103A ,JAPAN 100S 
JAPAN 103B ,JAPAN 100C 
JAPAN 103B ,JAPAN 100S 
JAPAN 103C ,JAPAN 100C 
JAPAN 103C ,JAPAN 100S 
JAPAN 104 ,JAPAN 100C 
JAPAN 104 ,JAPAN 100S 
JAPAN 108FL ,JAPAN 100C 
JAPAN 108FL ,JAPAN 100S 
JAPAN 109 ,JAPAN 100C 
JAPAN 109 ,JAPAN 100S 
JAPAN 110 ,JAPAN 100C 
JAPAN 110 ,JAPAN 100I 
JAPAN 110A ,JAPAN 100C 
JAPAN 110A ,JAPAN 100S 
JAPAN 110B ,JAPAN 110A 
JAPAN 120  M ,JAPAN 3 
JAPAN 120  M ,JAPAN 8 
JAPAN 122  CM ,JAPAN 3 
JAPAN 122  CM ,JAPAN 8 
JAPAN 123  CM ,JAPAN 4 
JAPAN 123  CM ,JAPAN 10 
JAPAN 124 ,JAPAN 6 
JAPAN 124 ,JAPAN 10 
JAPAN 130A ,JAPAN 100C 
JAPAN 130A ,JAPAN 100S 
JAPAN 130B ,JAPAN 100C 
JAPAN 130B ,JAPAN 100S 
JAPAN 130C ,JAPAN 100C 
JAPAN 130C ,JAPAN 100S 
JAPAN 131  C ,JAPAN 100C 
JAPAN 131  C ,JAPAN 100S 
JAPAN 140A ,JAPAN 110A 
JAPAN 140B ,JAPAN 110A 
JAPAN 140C ,JAPAN 110A 
JAPAN 149  C ,JAPAN 110A 
JAPAN 151 ,ENGCOMP 3 
JAPAN 151 ,ESL 36 
JAPAN 151 ,COM LIT 1A 
JAPAN 151 ,COM LIT 1B 
JAPAN 151 ,COM LIT 1C 
JAPAN 151 ,COM LIT 1D 
JAPAN 154 ,ENGCOMP 3 
JAPAN 154 ,ESL 36 
JAPAN 154 ,COM LIT 1A 
JAPAN 154 ,COM LIT 1B 
JAPAN 154 ,COM LIT 1C 
JAPAN 154 ,COM LIT 1D 
JAPAN 165 ,JAPAN 110A 
JAPAN 165 ,CHIN 165 
JAPAN 171  C ,JAPAN 100C 
JAPAN 172 ,JAPAN 50 
JAPAN 173  C ,JAPAN 50 
JAPAN 180  C ,JAPAN 110A 
JAPAN 187SL ,JAPAN 6 
JAPAN 201A ,JAPAN 100A 
JAPAN 201A ,JAPAN 100R 
JAPAN 222  C ,JAPAN 3 
JAPAN 222  C ,JAPAN 8 
JAPAN 223  C ,JAPAN 4 
JAPAN 223  C ,JAPAN 10 
JAPAN 231  C ,JAPAN 100C 
JAPAN 231  C ,JAPAN 100S 
JAPAN 243 ,JAPAN 200 
JAPAN 249  C ,JAPAN 110A 
JAPAN 273  C ,JAPAN 50 
JAPAN 280  C ,JAPAN 110A 
JAPANSE 2 ,JAPANSE 1 
JAPANSE 3 ,JAPANSE 2 
JAPANSE 4 ,JAPANSE 3 
JAPANSE 5 ,JAPANSE 4 
JAPANSE 6 ,JAPANSE 5 
JAPANSE 10 ,JAPANSE 3 
JAPANSE 100A ,JAPANSE 6 
JAPANSE 100B ,JAPANSE 100A 
JAPANSE 100C ,JAPANSE 100B 
JAPANSE 101A ,JAPANSE 100C 
JAPANSE 101B ,JAPANSE 101A 
JAPANSE 110 ,JAPANSE 100C 
JAPANSE 120  M ,JAPANSE 3 
JAPANSE 130A ,JAPANSE 100C 
JAPANSE 130B ,JAPANSE 100C 
JAPANSE 130C ,JAPANSE 130B 
JAPANSE 140A ,JAPANSE 110 
JAPANSE 140B ,JAPANSE 110 
JAPANSE 140C ,JAPANSE 110 
JAPANSE 149  C ,JAPANSE 110 
JAPANSE 150 ,ENGCOMP 3 
JAPANSE 150 ,COM LIT 1A 
JAPANSE 150 ,COM LIT 1B 
JAPANSE 150 ,COM LIT 1C 
JAPANSE 150 ,COM LIT 1D 
JAPANSE 151 ,ENGCOMP 3 
JAPANSE 151 ,COM LIT 1A 
JAPANSE 151 ,COM LIT 1B 
JAPANSE 151 ,COM LIT 1C 
JAPANSE 151 ,COM LIT 1D 
JAPANSE 154 ,ENGCOMP 3 
JAPANSE 154 ,COM LIT 1A 
JAPANSE 154 ,COM LIT 1B 
JAPANSE 154 ,COM LIT 1C 
JAPANSE 154 ,COM LIT 1D 
JAPANSE 165 ,JAPANSE 110 
JAPANSE 165 ,CHINESE 165 
JAPANSE 171  C ,JAPANSE 100C 
JAPANSE 180  C ,JAPANSE 110 
JAPANSE 195  C ,JAPANSE 50 
JAPANSE 195  C ,JAPANSE 60 
JAPANSE 195  C ,JAPANSE 150 
JAPANSE 195  C ,JAPANSE 151 
JAPANSE 290A ,JAPANSE 110 
JAPANSE 290B ,JAPANSE 110 
JAPANSE 295  C ,JAPANSE 50 
JAPANSE 295  C ,JAPANSE 60 
JAPANSE 295  C ,JAPANSE 150 
JAPANSE 295  C ,JAPANSE 151 
JEWISH 187  M ,HIST 182D M 
JEWISH 187  M ,HIST 183A 
JEWISH 187  M ,HIST 183B 
KOREA 2 ,KOREA 1 
KOREA 2A ,KOREA 1A 
KOREA 3 ,KOREA 2 
KOREA 3A ,KOREA 2A 
KOREA 4 ,KOREA 3 
KOREA 4 ,KOREA 3A 
KOREA 4 ,KOREA 8 
KOREA 4A ,KOREA 3A 
KOREA 5 ,KOREA 4 
KOREA 5A ,KOREA 4A 
KOREA 6 ,KOREA 5 
KOREA 6A ,KOREA 5A 
KOREA 10 ,KOREA 3 
KOREA 10 ,KOREA 8 
KOREA 40W ,ENGCOMP 3 
KOREA 100A ,KOREA 6 
KOREA 100A ,KOREA 6A 
KOREA 100A ,KOREA 10 
KOREA 100B ,KOREA 100A 
KOREA 100C ,KOREA 100B 
KOREA 101A ,KOREA 100C 
KOREA 101B ,KOREA 101A 
KOREA 101C ,KOREA 101B 
KOREA 101I ,KOREA 100C 
KOREA 102A ,KOREA 6 
KOREA 102A ,KOREA 6A 
KOREA 102A ,KOREA 10 
KOREA 102B ,KOREA 6 
KOREA 102B ,KOREA 6A 
KOREA 102B ,KOREA 10 
KOREA 102C ,KOREA 6 
KOREA 102C ,KOREA 6A 
KOREA 102C ,KOREA 10 
KOREA 103A ,KOREA 100C 
KOREA 103B ,KOREA 103A 
KOREA 103C ,KOREA 103B 
KOREA 104A ,KOREA 101C 
KOREA 104B ,KOREA 101C 
KOREA 104C ,KOREA 101C 
KOREA 105A C ,KOREA 101C 
KOREA 105B C ,KOREA 101C 
KOREA 105C C ,KOREA 101C 
KOREA 106A ,KOREA 101C 
KOREA 106B ,KOREA 101C 
KOREA 106C ,KOREA 101C 
KOREA 106SL ,KOREA 101C 
KOREA 107A ,KOREA 101C 
KOREA 107B ,KOREA 107A 
KOREA 107C ,KOREA 107B 
KOREA 107SL ,KOREA 101C 
KOREA 108FL ,KOREA 100C 
KOREA 109 ,KOREA 100C 
KOREA 130A ,KOREA 100C 
KOREA 130A ,ENGCOMP 3 
KOREA 130A ,ESL 36 
KOREA 130A ,COM LIT 1A 
KOREA 130A ,COM LIT 1B 
KOREA 130A ,COM LIT 1C 
KOREA 130A ,COM LIT 1D 
KOREA 130B ,KOREA 100C 
KOREA 130B ,ENGCOMP 3 
KOREA 130B ,ESL 36 
KOREA 130B ,COM LIT 1A 
KOREA 130B ,COM LIT 1B 
KOREA 130B ,COM LIT 1C 
KOREA 130B ,COM LIT 1D 
KOREA 148A ,KOREA 101C 
KOREA 151  C ,ENGCOMP 3 
KOREA 151  C ,COM LIT 1A 
KOREA 151  C ,COM LIT 1B 
KOREA 151  C ,COM LIT 1C 
KOREA 151  C ,COM LIT 1C 
KOREA 154 ,ENGCOMP 3 
KOREA 154 ,COM LIT 1A 
KOREA 154 ,COM LIT 1B 
KOREA 154 ,COM LIT 1C 
KOREA 154 ,COM LIT 1D 
KOREA 165 ,KOREA 100A 
KOREA 165 ,CHIN 110C 
KOREA 177 ,KOREA 50 
KOREA 177  C ,KOREA 50 
KOREA 180A ,KOREA 50 
KOREA 180B ,KOREA 50 
KOREA 180C ,KOREA 50 
KOREA 191B ,KOREA 177 
KOREA 191B ,KOREA 180C 
KOREA 277  C ,KOREA 50 
KOREAN 2 ,KOREAN 1 
KOREAN 2A ,KOREAN 1A 
KOREAN 3 ,KOREAN 2 
KOREAN 3A ,KOREAN 2A 
KOREAN 4 ,KOREAN 3 
KOREAN 4A ,KOREAN 3A 
KOREAN 5 ,KOREAN 4 
KOREAN 5A ,KOREAN 4A 
KOREAN 6 ,KOREAN 5 
KOREAN 6A ,KOREAN 5A 
KOREAN 10 ,KOREAN 3 
KOREAN 15A ,KOREAN 3A 
KOREAN 15B ,KOREAN 15A 
KOREAN 15C ,KOREAN 15B 
KOREAN 20A ,KOREAN 3A 
KOREAN 20B ,KOREAN 20A 
KOREAN 20C ,KOREAN 20B 
KOREAN 100A ,KOREAN 6 
KOREAN 100B ,KOREAN 100A 
KOREAN 100C ,KOREAN 100B 
KOREAN 101A ,KOREAN 100C 
KOREAN 101B ,KOREAN 101A 
KOREAN 101C ,KOREAN 101B 
KOREAN 102A ,KOREAN 100C 
KOREAN 102B ,KOREAN 102A 
KOREAN 102C ,KOREAN 102B 
KOREAN 105A C ,KOREAN 101C 
KOREAN 105B C ,KOREAN 101C 
KOREAN 105C C ,KOREAN 101A 
KOREAN 105C C ,KOREAN 101B 
KOREAN 105C C ,KOREAN 101C 
KOREAN 130A ,KOREAN 100C 
KOREAN 130B ,KOREAN 100C 
KOREAN 150 ,ENGCOMP 3 
KOREAN 150 ,COM LIT 1A 
KOREAN 150 ,COM LIT 1B 
KOREAN 150 ,COM LIT 1C 
KOREAN 150 ,COM LIT 1D 
KOREAN 151 ,ENGCOMP 3 
KOREAN 151 ,COM LIT 1A 
KOREAN 151 ,COM LIT 1B 
KOREAN 151 ,COM LIT 1C 
KOREAN 151 ,COM LIT 1D 
KOREAN 165 ,KOREAN 100A 
KOREAN 165 ,CHINESE 110C 
KOREAN 176 ,KOREAN 100C 
KOREAN 176 ,CHINESE 110C 
KOREAN 177 ,KOREAN 50 
KOREAN 178 ,KOREAN 101A 
KOREAN 178 ,KOREAN 105A C 
KOREAN 180A ,KOREAN 50 
KOREAN 180B ,KOREAN 50 
KOREAN 180C ,KOREAN 50 
KOREAN 191B ,KOREAN 177 
KOREAN 191B ,KOREAN 180C 
KOREAN 197B ,KOREAN 177 
KOREAN 197B ,KOREAN 180C 
L&I SCI 204 ,L&I SCI 201 
LATIN 2 ,LATIN 1 
LATIN 3 ,LATIN 2 
LATIN 3 ,LATIN 14 
LATIN 20 ,LATIN 3 
LATIN 20 ,LATIN 16 
LATIN 100 ,LATIN 20 
LATIN 101 ,LATIN 100 
LATIN 102 ,LATIN 100 
LATIN 103 ,LATIN 100 
LATIN 104 ,LATIN 100 
LATIN 105A ,LATIN 100 
LATIN 105B ,LATIN 105A 
LATIN 106 ,LATIN 100 
LATIN 107 ,LATIN 100 
LATIN 108 ,LATIN 100 
LATIN 109 ,LATIN 100 
LATIN 110 ,LATIN 100 
LATIN 111 ,LATIN 100 
LATIN 112 ,LATIN 100 
LATIN 113 ,LATIN 100 
LATIN 114 ,LATIN 100 
LATIN 115 ,LATIN 100 
LATIN 116 ,LATIN 100 
LATIN 117 ,LATIN 100 
LATIN 118 ,LATIN 100 
LATIN 119A ,LATIN 100 
LATIN 119B ,LATIN 100 
LATIN 120 ,LATIN 3 
LATIN 121 ,LATIN 100 
LATIN 129 ,LATIN 100 
LATIN 130 ,LATIN 3 
LATIN 131 ,LATIN 100 
LAW 208 ,LAW 220 
LAW 210 ,LAW 145 
LAW 211 ,LAW 145 
LAW 211 ,LAW 120 
LAW 216 ,LAW 148 
LAW 219 ,LAW 220 
LAW 221 ,LAW 220 
LAW 223 ,LAW 220 
LAW 224 ,LAW 220 
LAW 227 ,LAW 220 
LAW 228A ,LAW 230 
LAW 228B ,LAW 220 
LAW 229 ,LAW 220 
LAW 231 ,LAW 230 
LAW 231 ,LAW 115 
LAW 236 ,LAW 230 
LAW 236 ,LAW 115 
LAW 237 ,LAW 230 
LAW 239 ,LAW 230 
LAW 239  M ,LAW 230 
LAW 239  M ,LAW 220 
LAW 244 ,LAW 305 
LAW 249 ,LAW 220 
LAW 251 ,LAW 230 
